Word,pos,readability,lemma,diac
إِضافَة,noun,3,إِضافَة_1,إِضافَةٍ
مات,verb,1,مَأْتَى_1,مَآتٍ
أَعْطَى,verb,2,أَعْطَى_1,أَعْطَى
قادِم,adj,1,قادِم_1,قادِمٌ
بَنْك,noun,1,بَنْك_1,بَنْكُ
دَم,noun,1,دَم_1,دَمٌ
وُصُول,noun,1,وُصُول_1,وُصُولُ
صَحِيفَة,noun,3,صَحِيفَة_1,صَحِيفَةٍ
أَظْهَر,verb,3,أَظْهَر_1,أَظْهَرَ
مَوْضُوع,noun,1,مَوْضُوع_1,مَوْضُوعُ
سَيْر,noun,3,سَيْر_1,سَيْرِ
عُمْر,noun,1,عُمَر_1,عُمَر
خَطْوَة,noun,1,خَطْوَة_1,خَطْوَةٍ
ما,part_neg,1,ما_1,ما
